source,target,gas_price,block_timestamp,gas,nonce,token_official_site,value,abuse,max_fee_per_gas,max_priority_fee_per_gas
0x7eedfcbb0f8be141a527b51514abc1bd31587966,0x6ae477561f799755e2b832d6676e9265e13eda40,40000000000,2021-05-07 07:27:09,21000,3,null,0.027186330000000002,null,null,null
0x7eedfcbb0f8be141a527b51514abc1bd31587966,0x47fd067404ae8dfb25ad2e4d24b15f5976764dd3,143000000000,2021-02-14 01:26:54,21000,2,null,0.089999999999999997,null,null,null
0xddbb2a4993770f1db7225ecae613542a62da98f6,0xc7d9be62541dbc0140a47f4df4471c008c4aaf07,53594341241,2021-08-24 12:40:52,21000,6,null,0.029340487466670000,null,83705358730.000000000000000000,1500000000.000000000000000000
0x1a402df29b79f3c358d28c63f9395a4e15e2aab9,0x9c3d2779aee1b1c5fc6812ef82314732b296288d,38000000000,2021-08-23 13:18:49,32842,9,null,0.060105591229548727,null,null,null
0x1a402df29b79f3c358d28c63f9395a4e15e2aab9,0x129e322355e866d011038180a4f5b47bf2bd513d,29000000000,2021-08-22 19:59:08,21000,8,null,0.020000000000000000,null,null,null
0x1a402df29b79f3c358d28c63f9395a4e15e2aab9,0xe592427a0aece92de3edee1f18e0157c05861564,36000000000,2021-08-22 18:32:56,154437,7,null,0.000000000000000000,null,null,null
0x1a402df29b79f3c358d28c63f9395a4e15e2aab9,0xc770eefad204b5180df6a14ee197d99d808ee52d,35000000000,2021-08-22 18:29:35,46507,6,null,0.000000000000000000,null,null,null
0x1a402df29b79f3c358d28c63f9395a4e15e2aab9,0x416299aade6443e6f6e8ab67126e65a7f606eef5,53925810000,2021-08-22 18:17:46,50000,980178,null,0.030021710000000000,null,null,null
0x1a402df29b79f3c358d28c63f9395a4e15e2aab9,0x416299aade6443e6f6e8ab67126e65a7f606eef5,43151245000,2021-08-22 13:02:15,50000,980022,null,0.006021940000000000,null,null,null
0x1a402df29b79f3c358d28c63f9395a4e15e2aab9,0x0dcdc346adf5a808f8e683c31ba89fa6c6e5775d,36000000000,2021-08-22 13:40:33,88788,5,null,0.000000000000000000,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0xfa4eb1b3fdafe1c3608e572e9a871ee1bf6ab309,42000000000,2021-09-30 10:56:41,21000,66,null,0.134920447531124477,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-08-04 12:24:52,55000,3028336,null,0.050042929999999999,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-07-22 10:02:56,55000,2922685,null,0.050126573000000001,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-06-09 22:18:37,55000,2598537,null,0.050011844000000000,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x28c6c06298d514db089934071355e5743bf21d60,24000000000,2021-06-09 22:32:05,42000,4,null,1.006735782000000023,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-05-26 05:31:04,55000,2505258,null,0.050308797000000002,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-05-15 18:18:54,55000,2421969,null,0.050091228000000002,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-05-07 07:21:02,55000,2343344,null,0.050160103999999997,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-04-25 12:39:34,55000,2266600,null,0.050036267000000002,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-04-17 04:01:41,55000,2196308,null,0.050091065999999997,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-04-07 21:37:36,50000,2130312,null,0.050054394000000002,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-03-31 12:43:10,50000,2067811,null,0.050902108000000001,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-03-23 18:18:30,50000,2009264,null,0.050347798999999999,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-03-17 03:53:53,50000,1954963,null,0.050686654999999997,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-03-10 02:45:45,50000,1901620,null,0.050873263000000002,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x8e870d67f660d95d5be530380d0ec0bd388289e1,102000000000,2021-03-04 11:34:41,86826,3,null,0.000000000000000000,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-03-04 04:38:56,50000,1859083,null,0.050204921000000000,null,null,null
0x95a5147bd3979d0947603a662c16c5d2eac40e17,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,1000000000,2021-02-26 06:14:32,50000,1820752,null,0.050481697999999998,null,null,null
